L,n_matched,s_a,max_mismatches,p_forge,p_honest_accept,security_bits
30,10,0.05,0,0.0931068182589886,0.9043820750088044,3.4249693688408223
60,20,0.05,1,0.05512526540219264,0.983140662364348,4.181142493190635
90,30,0.05,1,0.0072952412019138164,0.9638520016877629,7.098828606031981
120,40,0.05,2,0.005089080877816977,0.9925026366045976,7.6183791652474895
150,50,0.05,2,0.0007161251423800255,0.9861827291694034,10.44750066005527
180,60,0.05,3,0.0005227835240115707,0.996876670828466,10.901498705518936
210,70,0.05,3,7.559059211030322e-05,0.9945711424214084,13.69143378444014
240,80,0.05,4,5.637610810424304e-05,0.9987090882710592,14.114556588804316
270,90,0.05,4,8.278523570962067e-06,0.9978257238333904,16.88219507536529
300,100,0.05,5,6.251588381664377e-06,0.9994654655359857,17.287345778075682
450,150,0.05,7,1.2122886829057385e-08,0.9998504429184444,26.29769146969059
600,200,0.05,10,1.268503837811303e-10,0.9999931182295421,32.87615306464484
900,300,0.05,15,2.9438651785625423e-15,0.9999999053354114,48.27120982211697
1200,400,0.05,20,7.228413924431275e-20,0.999999998648614,63.58488277538175
1500,500,0.05,25,1.831234838399826e-24,0.9999999999800737,78.85345746242034
2000,666,0.05,33,2.746818145528626e-32,1.0,104.8439376371681
3000,1000,0.05,50,2.349675641888104e-47,0.999999999999816,154.89815884425056
