threshold,tpr,fpr
0.000,1.0000,0.4800
0.020,1.0000,0.4800
0.040,1.0000,0.1800
0.060,1.0000,0.1200
0.080,1.0000,0.0800
0.100,1.0000,0.0400
0.120,1.0000,0.0400
0.140,1.0000,0.0000
0.160,1.0000,0.0000
0.180,1.0000,0.0000
0.200,1.0000,0.0000
0.220,1.0000,0.0000
0.240,0.9800,0.0000
0.260,0.9800,0.0000
0.280,0.9800,0.0000
0.300,0.9600,0.0000
0.320,0.9600,0.0000
0.340,0.9400,0.0000
0.360,0.8800,0.0000
0.380,0.8000,0.0000
0.400,0.7400,0.0000
0.420,0.6800,0.0000
0.440,0.6000,0.0000
0.460,0.5600,0.0000
0.480,0.5000,0.0000
0.500,0.3800,0.0000
0.520,0.3200,0.0000
0.540,0.2400,0.0000
0.560,0.2000,0.0000
0.580,0.1800,0.0000
0.600,0.1800,0.0000
